r0	r
r1	r
r2	r
r3	r
r00	r0
r00	r
r01	r0
r01	r
r02	r0
r02	r
r03	r0
r03	r
r10	r1
r10	r
r11	r1
r11	r
r12	r1
r12	r
r13	r1
r13	r
r20	r2
r20	r
r21	r2
r21	r
r22	r2
r22	r
r23	r2
r23	r
r30	r3
r30	r
r31	r3
r31	r
r32	r3
r32	r
r33	r3
r33	r
r000	r00
r000	r0
r000	r
r001	r00
r001	r0
r001	r
r002	r00
r002	r0
r002	r
r003	r00
r003	r0
r003	r
r010	r01
r010	r0
r010	r
r011	r01
r011	r0
r011	r
r012	r01
r012	r0
r012	r
r013	r01
r013	r0
r013	r
r020	r02
r020	r0
r020	r
r021	r02
r021	r0
r021	r
r022	r02
r022	r0
r022	r
r023	r02
r023	r0
r023	r
r030	r03
r030	r0
r030	r
r031	r03
r031	r0
r031	r
r032	r03
r032	r0
r032	r
r033	r03
r033	r0
r033	r
r100	r10
r100	r1
r100	r
r101	r10
r101	r1
r101	r
r102	r10
r102	r1
r102	r
r103	r10
r103	r1
r103	r
r110	r11
r110	r1
r110	r
r111	r11
r111	r1
r111	r
r112	r11
r112	r1
r112	r
r113	r11
r113	r1
r113	r
r120	r12
r120	r1
r120	r
r121	r12
r121	r1
r121	r
r122	r12
r122	r1
r122	r
r123	r12
r123	r1
r123	r
r130	r13
r130	r1
r130	r
r131	r13
r131	r1
r131	r
r132	r13
r132	r1
r132	r
r133	r13
r133	r1
r133	r
r200	r20
r200	r2
r200	r
r201	r20
r201	r2
r201	r
r202	r20
r202	r2
r202	r
r203	r20
r203	r2
r203	r
r210	r21
r210	r2
r210	r
r211	r21
r211	r2
r211	r
r212	r21
r212	r2
r212	r
r213	r21
r213	r2
r213	r
r220	r22
r220	r2
r220	r
r221	r22
r221	r2
r221	r
r222	r22
r222	r2
r222	r
r223	r22
r223	r2
r223	r
r230	r23
r230	r2
r230	r
r231	r23
r231	r2
r231	r
r232	r23
r232	r2
r232	r
r233	r23
r233	r2
r233	r
r300	r30
r300	r3
r300	r
r301	r30
r301	r3
r301	r
r302	r30
r302	r3
r302	r
r303	r30
r303	r3
r303	r
r310	r31
r310	r3
r310	r
r311	r31
r311	r3
r311	r
r312	r31
r312	r3
r312	r
r313	r31
r313	r3
r313	r
r320	r32
r320	r3
r320	r
r321	r32
r321	r3
r321	r
r322	r32
r322	r3
r322	r
r323	r32
r323	r3
r323	r
r330	r33
r330	r3
r330	r
r331	r33
r331	r3
r331	r
r332	r33
r332	r3
r332	r
r333	r33
r333	r3
r333	r
r0000	r000
r0000	r00
r0000	r0
r0000	r
r0001	r000
r0001	r00
r0001	r0
r0001	r
r0002	r000
r0002	r00
r0002	r0
r0002	r
r0003	r000
r0003	r00
r0003	r0
r0003	r
r0010	r001
r0010	r00
r0010	r0
r0010	r
r0011	r001
r0011	r00
r0011	r0
r0011	r
r0012	r001
r0012	r00
r0012	r0
r0012	r
r0013	r001
r0013	r00
r0013	r0
r0013	r
r0020	r002
r0020	r00
r0020	r0
r0020	r
r0021	r002
r0021	r00
r0021	r0
r0021	r
r0022	r002
r0022	r00
r0022	r0
r0022	r
r0023	r002
r0023	r00
r0023	r0
r0023	r
r0030	r003
r0030	r00
r0030	r0
r0030	r
r0031	r003
r0031	r00
r0031	r0
r0031	r
r0032	r003
r0032	r00
r0032	r0
r0032	r
r0033	r003
r0033	r00
r0033	r0
r0033	r
r0100	r010
r0100	r01
r0100	r0
r0100	r
r0101	r010
r0101	r01
r0101	r0
r0101	r
r0102	r010
r0102	r01
r0102	r0
r0102	r
r0103	r010
r0103	r01
r0103	r0
r0103	r
r0110	r011
r0110	r01
r0110	r0
r0110	r
r0111	r011
r0111	r01
r0111	r0
r0111	r
r0112	r011
r0112	r01
r0112	r0
r0112	r
r0113	r011
r0113	r01
r0113	r0
r0113	r
r0120	r012
r0120	r01
r0120	r0
r0120	r
r0121	r012
r0121	r01
r0121	r0
r0121	r
r0122	r012
r0122	r01
r0122	r0
r0122	r
r0123	r012
r0123	r01
r0123	r0
r0123	r
r0130	r013
r0130	r01
r0130	r0
r0130	r
r0131	r013
r0131	r01
r0131	r0
r0131	r
r0132	r013
r0132	r01
r0132	r0
r0132	r
r0133	r013
r0133	r01
r0133	r0
r0133	r
r0200	r020
r0200	r02
r0200	r0
r0200	r
r0201	r020
r0201	r02
r0201	r0
r0201	r
r0202	r020
r0202	r02
r0202	r0
r0202	r
r0203	r020
r0203	r02
r0203	r0
r0203	r
r0210	r021
r0210	r02
r0210	r0
r0210	r
r0211	r021
r0211	r02
r0211	r0
r0211	r
r0212	r021
r0212	r02
r0212	r0
r0212	r
r0213	r021
r0213	r02
r0213	r0
r0213	r
r0220	r022
r0220	r02
r0220	r0
r0220	r
r0221	r022
r0221	r02
r0221	r0
r0221	r
r0222	r022
r0222	r02
r0222	r0
r0222	r
r0223	r022
r0223	r02
r0223	r0
r0223	r
r0230	r023
r0230	r02
r0230	r0
r0230	r
r0231	r023
r0231	r02
r0231	r0
r0231	r
r0232	r023
r0232	r02
r0232	r0
r0232	r
r0233	r023
r0233	r02
r0233	r0
